Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
83,tt0105435,2020-01-15,2020-01-15,,Sneakers,https://www.imdb.com/title/tt0105435/,movie,7.1,126,1992,"Comedy, Crime, Drama, Mystery, Thriller",56231,1992-09-09,Phil Alden Robinson,,
84,tt0112818,2020-01-18,2020-01-18,,Dead Man Walking,https://www.imdb.com/title/tt0112818/,movie,7.5,122,1995,"Crime, Drama",91600,1995-12-29,Tim Robbins,,
85,tt0079239,2020-01-25,2020-01-25,,The Great Santini,https://www.imdb.com/title/tt0079239/,movie,7.2,115,1979,Drama,6064,1979-10-26,Lewis John Carlino,,
86,tt1023114,2020-01-25,2020-01-25,,The Way Back,https://www.imdb.com/title/tt1023114/,movie,7.3,133,2010,"Adventure, Drama, History",113192,2010-09-03,Peter Weir,,
87,tt0104454,2020-01-29,2020-01-29,,Howards End,https://www.imdb.com/title/tt0104454/,movie,7.4,142,1992,"Drama, Romance",30517,1992-02-27,James Ivory,,
88,tt2396589,2020-01-29,2020-01-29,,Mudbound,https://www.imdb.com/title/tt2396589/,movie,7.4,134,2017,"Drama, War",45790,2017-01-21,Dee Rees,,
89,tt5929754,2020-01-29,2020-01-29,,Wildlife,https://www.imdb.com/title/tt5929754/,movie,6.8,105,2018,Drama,26865,2018-01-20,Paul Dano,,
90,tt0830515,2020-01-30,2020-01-30,,Quantum of Solace,https://www.imdb.com/title/tt0830515/,movie,6.6,106,2008,"Action, Adventure, Thriller",415317,2008-10-29,Marc Forster,,
91,tt2379713,2020-01-30,2020-01-30,,Spectre,https://www.imdb.com/title/tt2379713/,movie,6.8,148,2015,"Action, Adventure, Thriller",396035,2015-10-26,Sam Mendes,,
92,tt0986233,2020-01-30,2020-01-30,,Hunger,https://www.imdb.com/title/tt0986233/,movie,7.5,96,2008,"Biography, Drama",68400,2008-05-15,Steve McQueen,,
93,tt0286106,2020-01-31,2020-01-31,,Signs,https://www.imdb.com/title/tt0286106/,movie,6.7,106,2002,"Drama, Mystery, Sci-Fi, Thriller",347227,2002-07-29,M. Night Shyamalan,,
94,tt0094625,2020-01-31,2020-01-31,,Akira,https://www.imdb.com/title/tt0094625/,movie,8.0,124,1988,"Animation, Action, Drama, Fantasy, Sci-Fi, Thriller",173236,1988-07-16,Katsuhiro Ôtomo,,
95,tt0095327,2020-01-31,2020-01-31,,Hotaru no haka,https://www.imdb.com/title/tt0095327/,movie,8.5,89,1988,"Animation, Drama, War",251144,1988-04-16,Isao Takahata,,
96,tt3521126,2020-01-31,2020-01-31,,The Disaster Artist,https://www.imdb.com/title/tt3521126/,movie,7.4,104,2017,"Biography, Comedy, Drama",144844,2017-09-11,James Franco,,
97,tt3901826,2020-01-31,2020-01-31,,The Breadwinner,https://www.imdb.com/title/tt3901826/,movie,7.7,94,2017,"Animation, Drama, Family, War",23100,2017-09-08,Nora Twomey,,
98,tt3262342,2020-01-31,2020-01-31,,Loving Vincent,https://www.imdb.com/title/tt3262342/,movie,7.8,94,2017,"Animation, Biography, Crime, Drama, Mystery",53869,2017-06-12,"Dorota Kobiela, Hugh Welchman",,
99,tt4034228,2020-01-31,2020-01-31,,Manchester by the Sea,https://www.imdb.com/title/tt4034228/,movie,7.8,137,2016,Drama,260262,2016-01-23,Kenneth Lonergan,,
100,tt0490215,2020-01-31,2020-01-31,,Silence,https://www.imdb.com/title/tt0490215/,movie,7.2,161,2016,"Drama, History",105289,2016-11-29,Martin Scorsese,,
101,tt4080728,2020-01-31,2020-01-31,,En man som heter Ove,https://www.imdb.com/title/tt4080728/,movie,7.7,116,2015,"Comedy, Drama, Romance",50601,2015-12-13,Hannes Holm,,
102,tt3464902,2020-01-31,2020-01-31,,The Lobster,https://www.imdb.com/title/tt3464902/,movie,7.2,119,2015,"Comedy, Drama, Romance, Sci-Fi, Thriller",233249,2015-05-15,Yorgos Lanthimos,,
